Item #,Category,Sub Category,Product Name,Product Link,Small Image Link,Large Image Link,Size,Dimensional Size,Length,Width,Height,Weight,Color,Detail,SKU,Description,KeyFeatures,MSRP,MAP,Price
10-01               ,Xtreme Endurance,Boots & Accessories,Replacement Boot Laces,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=45&cscid=464,https://www.foxoutdoor.com/item_images_sm/1001.jpg,https://www.foxoutdoor.com/item_images_lg/1001.jpg,                                                  ,One size fits most,,,,0.05,Black                                                                                               ,                                                                                                    ,99598100100,REPLACEMENT BOOT LACES - BLACK                        , Made for jungle and combat boots. Comes with a header card,4.95,3.95,1.75
10-012              ,Xtreme Endurance,Boots & Accessories,Replacement Boot Laces,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=45&cscid=464,https://www.foxoutdoor.com/item_images_sm/10012.jpg,https://www.foxoutdoor.com/item_images_lg/10012.jpg,                                                  ,One size fits most,,,,0.05,Sand                                                                                                ,                                                                                                    ,99598100124,REPLACEMENT BOOT LACES - SAND                         , Made for jungle and combat boots. Comes with a header card,4.95,3.95,1.75
10-480              ,Xtreme Endurance,Thin Line Collection,Bumper Sticker,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=172&cscid=1675,https://www.foxoutdoor.com/item_images_sm/10480.jpg,https://www.foxoutdoor.com/item_images_lg/10480.jpg,                                                  ,,7.5,,3.75,0.01,,Police Lives Matter,99598104801,POLICE LIVES MATTER BUMPER STICKER                    , Zip-Stripes removable bumper sticker. Strong on – Easy off,2.95,2.95,1
10-481              ,Xtreme Endurance,Thin Line Collection,Bumper Sticker,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=172&cscid=1675,https://www.foxoutdoor.com/item_images_sm/10481.jpg,https://www.foxoutdoor.com/item_images_lg/10481.jpg,                                                  ,,7.5,,3.75,0.01,,Police/Thin Blue Line,99598104818,POLICE/THIN BLUE LINE BUMPER STICKER                  , Zip-Stripes removable bumper sticker. Strong on – Easy off,2.95,2.95,1
10-482              ,Xtreme Endurance,Thin Line Collection,Bumper Sticker,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=172&cscid=1675,https://www.foxoutdoor.com/item_images_sm/10482.jpg,https://www.foxoutdoor.com/item_images_lg/10482.jpg,                                                  ,,7.5,,3.75,0.01,,USA Flag/Thin Blue Line,99598104825,USA FLAG/THIN BLUE LINE BUMPER STICKER                , Zip-Stripes removable bumper sticker. Strong on – Easy off,2.95,2.95,1
10-50 OD            ,Xtreme Endurance,Boots & Accessories,Blousing Garters,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=45&cscid=466,https://www.foxoutdoor.com/item_images_sm/1050.jpg,https://www.foxoutdoor.com/item_images_lg/1050.jpg,                                                  ,One size fits most,,,,0.1,Olive Drab                                                                                          ,                                                                                                    ,99598105006,ELASTIC BLOUSING GARTER - OLIVE DRAB                  , Elastic-hook-on style. Used to secure pant bottoms. 2 pieces per card,1.95,1.95,0.65
10-502              ,Xtreme Endurance,Boots & Accessories,Blousing Garters,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=45&cscid=466,https://www.foxoutdoor.com/item_images_sm/10502.jpg,https://www.foxoutdoor.com/item_images_lg/10502.jpg,                                                  ,One size fits most,,,,0.1,Khaki                                                                                               ,                                                                                                    ,99598105020,ELASTIC BLOUSING GARTER - KHAKI                       , Elastic-hook-on style. Used to secure pant bottoms. 2 pieces per card,1.95,1.95,0.65
10-505              ,Xtreme Endurance,Boots & Accessories,Blousing Garters,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=45&cscid=466,https://www.foxoutdoor.com/item_images_sm/10505.jpg,https://www.foxoutdoor.com/item_images_lg/10505.jpg,                                                  ,One size fits most,,,,0.1,Black                                                                                               ,                                                                                                    ,99598105051,ELASTIC BLOUSING GARTER - BLACK                       , Elastic-hook-on style. Used to secure pant bottoms. 2 pieces per card,1.95,1.95,0.65
10-507              ,Xtreme Endurance,Boots & Accessories,Blousing Garters,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=45&cscid=466,https://www.foxoutdoor.com/item_images_sm/10507.jpg,https://www.foxoutdoor.com/item_images_lg/10507.jpg,                                                  ,One size fits most,,,,0.1,Foliage Green                                                                                       ,                                                                                                    ,99598105075,ELASTIC BLOUSING GARTER - FOLIAGE                     , Elastic-hook-on style. Used to secure pant bottoms. 2 pieces per card,1.95,1.95,0.65
11-10               ,Essentials,Novelties,Nylon Commando Wallet,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=89&cscid=786,https://www.foxoutdoor.com/item_images_sm/1110.jpg,https://www.foxoutdoor.com/item_images_lg/1110.jpg,                                                  ,,,,,0.1,Olive Drab,,99598111007,NYLON COMMANDO WALLET - OLIVE DARB                    , Bi-fold. 5 inside pockets. Hook and loop closure,4.95,3.95,1.9
11-11               ,Essentials,Novelties,Nylon Commando Wallet,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=89&cscid=786,https://www.foxoutdoor.com/item_images_sm/1111.jpg,https://www.foxoutdoor.com/item_images_lg/1111.jpg,                                                  ,,,,,0.1,Black,,99598111106,NYLON COMMANDO WALLET - BLACK                         , Bi-fold. 5 inside pockets. Hook and loop closure,4.95,3.95,1.9
11-14               ,Essentials,Novelties,Nylon Commando Wallet,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=89&cscid=786,https://www.foxoutdoor.com/item_images_sm/1114.jpg,https://www.foxoutdoor.com/item_images_lg/1114.jpg,                                                  ,,,,,0.1,Woodland Camo,,99598111403,NYLON COMMANDO WALLET - CAMOUFLAGE                    , Bi-fold. 5 inside pockets. Hook and loop closure,4.95,3.95,1.9
11-143              ,Essentials,Novelties,Nylon Commando Wallet,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=89&cscid=786,https://www.foxoutdoor.com/item_images_sm/11143.jpg,https://www.foxoutdoor.com/item_images_lg/11143.jpg,                                                  ,,,,,0.1,Digital Woodland,,99598111434,NYLON COMMANDO WALLET - DIGITAL WOODLAND              , Bi-fold. 5 inside pockets. Hook and loop closure,4.95,3.95,1.9
11-147              ,Essentials,Novelties,Nylon Commando Wallet,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=89&cscid=786,https://www.foxoutdoor.com/item_images_sm/11147.jpg,https://www.foxoutdoor.com/item_images_lg/11147.jpg,                                                  ,,,,,0.1,Terrain Digital,,99598111472,NYLON COMMANDO WALLET - TERRAIN DIGITAL               , Bi-fold. 5 inside pockets. Hook and loop closure,4.95,3.95,1.9
11-15               ,Essentials,Novelties,Nylon Commando Wallet,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=89&cscid=786,https://www.foxoutdoor.com/item_images_sm/1115.jpg,https://www.foxoutdoor.com/item_images_lg/1115.jpg,                                                  ,,,,,0.1,US Army Logo,,99598111502,NYLON COMMANDO WALLET - US ARMY                       , Bi-fold. 5 inside pockets. Hook and loop closure,7.95,6.95,2.9
11-20               ,Essentials,Novelties,Leather Wallet,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=89&cscid=1488,https://www.foxoutdoor.com/item_images_sm/1120.jpg,https://www.foxoutdoor.com/item_images_lg/1120.jpg,                                                  ,,,,,0.25,Army Star,,6.17E+11,LEATHER WALLET - U.S. ARMY STAR                       , Comes assorted in red  brown &amp; black. 12 credit card slots. 2 card flaps with thumb-slide window  great for driver's license or ID's. 4 interior pockets. Double bill compartment  ideal for international travel. Deluxe scuff resistant  embossed Military logo. Nicely packaged in an open-window gift box,31.95,25.95,12.75
11-21               ,Essentials,Novelties,Leather Wallet,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=89&cscid=1488,https://www.foxoutdoor.com/item_images_sm/1121.jpg,https://www.foxoutdoor.com/item_images_lg/1121.jpg,                                                  ,,,,,0.25,Navy,,6.17E+11,LEATHER WALLET - U.S. NAVY                            , Comes assorted in red  brown &amp; black. 12 credit card slots. 2 card flaps with thumb-slide window  great for driver's license or ID's. 4 interior pockets. Double bill compartment  ideal for international travel. Deluxe scuff resistant  embossed Military logo. Nicely packaged in an open-window gift box,31.95,25.95,12.75
11-22               ,Essentials,Novelties,Leather Wallet,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=89&cscid=1488,https://www.foxoutdoor.com/item_images_sm/1122.jpg,https://www.foxoutdoor.com/item_images_lg/1122.jpg,                                                  ,,,,,0.25,Air Force Wings,,6.17E+11,LEATHER WALLET - U.S. AIR FORCE WINGS                 , Comes assorted in red  brown &amp; black. 12 credit card slots. 2 card flaps with thumb-slide window  great for driver's license or ID's. 4 interior pockets. Double bill compartment  ideal for international travel. Deluxe scuff resistant  embossed Military logo. Nicely packaged in an open-window gift box,31.95,25.95,12.75
12-01               ,Adventure,Personal & Home Protection,Sabre Red Pepper Self Defense Spray ,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1658,https://www.foxoutdoor.com/item_images_sm/1201.jpg,https://www.foxoutdoor.com/item_images_lg/1201.jpg,                                                  ,,,,,0.5,,36 oz. / Black Pen (Sabre® Red) / 0.5 lbs.,23063104140,SABRE RED P/SPRAY-.36 OZ PEN                          ,,13.95,11.95,5.35
12-01F              ,Adventure,Safety Glasses,Fire Master Fog Pepper Spray,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=148&cscid=1185,https://www.foxoutdoor.com/item_images_sm/1201F.jpg,https://www.foxoutdoor.com/item_images_lg/1201F.jpg,                                                  ,3 oz.,,,,0.3,,,99598312015,OC-5.3 2% FIRE MASTER FOG P/SPRAY 3 OZ - BLACK        ," Non-flammable and Taser-safe. Highest quality materials and components are used. Use organic pepper resins that have at least a true 2 000 000 Scoville. Heat Unit (SHU) rating. Finger loop makes for easy carry/discharge. Keeping the unit in proper firing position. 3-oz.  5¼""H x 1 3/8""Dia. X 2 5/8"" wide. Finger Loop Top. Approx 8½ sec. bursts",50.95,40.95,20.25
12-02               ,Adventure,Personal & Home Protection,Sabre Red Pepper Self Defense Spray ,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1658,https://www.foxoutdoor.com/item_images_sm/1202.jpg,https://www.foxoutdoor.com/item_images_lg/1202.jpg,                                                  ,,,,,0.15,,.54 oz. / Black Hard Case (Sabre® Red) / 0.15 lbs.,23063105147,SABRE RED P/SPRAY- .54 OZ HARD CASE                   ,,13.95,11.95,5.5
12-021              ,Adventure,Personal & Home Protection,Sabre Pepper Practice Gel Kit,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1567,https://www.foxoutdoor.com/item_images_sm/12021.jpg,https://www.foxoutdoor.com/item_images_lg/12021.jpg,                                                  ,,,,,0.3,,,23063153216,SABRE PEPPER PRACTICE GEL KIT                         ,,27.95,22.95,10.9
12-023              ,Adventure,Personal & Home Protection,Sabre Red Pepper Self Defense Spray ,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1658,https://www.foxoutdoor.com/item_images_sm/12023.jpg,https://www.foxoutdoor.com/item_images_lg/12023.jpg,                                                  ,,,,,0.15,,15 grams / Pink Designer Label (Sabre® Red) / 0.15 lbs.  ,23063100159,SABRE RED P/SPRAY  15 GRAMS - PINK DESIGNER LABEL     ,,13.95,11.95,5.25
12-024              ,Adventure,Personal & Home Protection,Sabre Red Pepper Self Defense Spray ,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1658,https://www.foxoutdoor.com/item_images_sm/12024.jpg,https://www.foxoutdoor.com/item_images_lg/12024.jpg,                                                  ,,,,,0.15,,15 grams / Pink Pepper Spray & Drink Test Kit (Sabre® Red) / 0.15 lbs,23063806143,SABRE RED P/SPRAY & DRINK TEST KIT 15 GRAMS - PINK    ,,23.95,19.95,9.5
12-025              ,Adventure,Personal & Home Protection,Sabre Red Pepper Self Defense Spray ,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1658,https://www.foxoutdoor.com/item_images_sm/12025.jpg,https://www.foxoutdoor.com/item_images_lg/12025.jpg,                                                  ,,,,,0.05,,.54 oz. / Red Hard Case (Advanced 3-in-1 Formula) / 0.05 lbs.,23063755144,SABRE RED P/SPRAY .54 OZ HARD CASE                    ,,13.95,11.95,5.5
12-026              ,Adventure,Personal & Home Protection,Sabre Red Pepper Self Defense Spray ,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1658,https://www.foxoutdoor.com/item_images_sm/12026.jpg,https://www.foxoutdoor.com/item_images_lg/12026.jpg,                                                  ,,,,,0.2,,15 grams / Pink Hard Case (Sabre® Red) / 0.20 lbs.  ,23063105475,SABRE RED P/SPRAY 15 GRAMS HARD CASE - PINK           ,,16.95,13.95,6.5
12-027              ,Adventure,Personal & Home Protection,Sabre Red Pepper Self Defense Spray ,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1658,https://www.foxoutdoor.com/item_images_sm/12027.jpg,https://www.foxoutdoor.com/item_images_lg/12027.jpg,                                                  ,,,,,0.2,,.54 oz. / Pink Hard case (Sabre® Red) / 0.2 lbs.,23063105154,SABRE RED P/SPRAY .54 OZ HARD CASE                    ,,13.95,11.95,5.5
12-028              ,Adventure,Personal & Home Protection,Sabre Red Pepper Self Defense Spray ,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1658,https://www.foxoutdoor.com/item_images_sm/12028.jpg,https://www.foxoutdoor.com/item_images_lg/12028.jpg,                                                  ,,,,,0.1,,.54 oz. / Pink Camo Soft Case For Spray / 0.1 lbs.,23063102153,SABRE RED P/SPRAY .54 OZ WITH SOFT CASE - PINK CAMO   ,,14.95,11.95,5.9
12-02F              ,Enforcement,Personal Protection,Key Chain Pepper Spray,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=2&ccid=110&cscid=1183,https://www.foxoutdoor.com/item_images_sm/1202F.jpg,https://www.foxoutdoor.com/item_images_lg/1202F.jpg,                                                  ,11 grams,,,,0.1,,,99598112028,OCUV 2% KEY CHAIN P/SPRAY 11 GRAM - BLACK             ," Non-flammable and Taser-safe. Highest quality materials and components are used. Use organic pepper resins that have at least a true 2 000 000 Scoville. Heat Unit (SHU) rating. 11 grams  3½"" H x 1¼"" Dia. . Approx 10½ sec. bursts in a splatter stream travel 8 to 10 feet",31.95,25.95,12.5
12-031F             ,Enforcement,Personal Protection,Cop Top Fog Cone Pepper Spray,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=2&ccid=110&cscid=1182,https://www.foxoutdoor.com/item_images_sm/12031F.jpg,https://www.foxoutdoor.com/item_images_lg/12031F.jpg,3 OZ.                                             ,3 oz.  4 oz.,,,,0.25,,,99598312312,OC 2% COP TOP MED. FOG P/SPRAY 3 OZ - BLACK           ," Non-flammable and Taser-safe. Highest quality materials and components are used. Use organic pepper resins that have at least a true 2 000 000 Scoville. Heat Unit (SHU) rating. 3 oz.  4 3/4"" H x 1 3/8"" Dia.; approx. 24-28½ sec bursts. 4 oz.  5 3/4"" H x 1½"" Dia.; approx.. 32-36½ sec bursts . Cone Fog Pattern goes 10-12 feet",40.95,32.95,16.25
12-032F             ,Enforcement,Personal Protection,Flip Top Stream Pepper Spray,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=2&ccid=110&cscid=1187,https://www.foxoutdoor.com/item_images_sm/12032F.jpg,https://www.foxoutdoor.com/item_images_lg/12032F.jpg,3 OZ.                                             ,3 oz.  4 oz.,,,,0.25,,,99598312329,OC 2% FLIP TOP STREAM P/SPRAY 3 OZ - BLACK            ," Non-flammable and Taser-safe. Highest quality materials and components are used. Use organic pepper resins that have at least a true 2 000 000 Scoville. Heat Unit (SHU) rating. 3 oz.  4¾"" H x 1 3/8"" Dia.; approx. 24-28½ sec bursts. 4 oz.  5¾"" H x 1½"" Dia.; approx.. 32-36½ sec bursts. Heavy Stream Pattern goes 12-15 ft",43.95,35.95,17.5
12-033F             ,Adventure,Safety Glasses,Flip Top Fog Cone Pepper Spray,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=148&cscid=1186,https://www.foxoutdoor.com/item_images_sm/12033F.jpg,https://www.foxoutdoor.com/item_images_lg/12033F.jpg,3 OZ.                                             ,3 oz.  4 oz.,,,,0.25,,,99598312336,OC 2% FLIP TOP MED. FOG P/SPRAY 3 OZ - BLACK          ," Non-flammable and Taser-safe. Highest quality materials and components are used. Use organic pepper resins that have at least a true 2 000 000 Scoville. Heat Unit (SHU) rating. 3 oz.  4¾"" H x 1 3/8"" Dia.; approx. 24-28½ sec bursts. 4 oz.  5¾"" H x 1½"" Dia.; approx. 32-36½ sec bursts   . Cone-Fog Pattern goes 10-12 ft",43.95,35.95,17.5
12-035              ,Adventure,Personal & Home Protection,Sabre Red Pepper Self Defense Spray ,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1658,https://www.foxoutdoor.com/item_images_sm/12035.jpg,https://www.foxoutdoor.com/item_images_lg/12035.jpg,                                                  ,,,,,0.25,,14 Grams / Red Hard Case (Advanced 3-in-1 formula) / 0.25 lbs.,23063751146,SABRE RED HD CASE W/CANISTER  ADV 3-IN-1              ,,17.95,14.95,6.9
12-03F              ,Enforcement,Personal Protection,Cop Top Stream Pepper Spray,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=2&ccid=110&cscid=1184,https://www.foxoutdoor.com/item_images_sm/1203F.jpg,https://www.foxoutdoor.com/item_images_lg/1203F.jpg,3 OZ.                                             ,3 oz.  4 oz.,,,,0.25,,,99598312039,OC 2% COP TOP STREAM P/SPRAY 3 OZ - BLACK             ," Non-flammable and Taser-safe. Highest quality materials and components are used. Use organic pepper resins that have at least a true 2 000 000 Scoville. Heat Unit (SHU) rating. 3 oz.  5"" H x 1 3/8"" Dia.; approx. 24-28½ sec bursts. Heavy Stream Pattern goes 12-15 ft",37.95,30.95,14.9
12-04               ,Adventure,Personal & Home Protection,Sabre Red Pepper Self Defense Spray ,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1658,https://www.foxoutdoor.com/item_images_sm/1204.jpg,https://www.foxoutdoor.com/item_images_lg/1204.jpg,                                                  ,,,,,0.15,,.79 oz. / “The Jogger” (Sabre® Red) / 0.15 lbs.,23063101224,"SABRE RED P/GEL-22 GRAMS ""THE JOGGER""                 ",,16.95,13.95,6.5
12-041F             ,Enforcement,Personal Protection,Cop Top Fog Cone Pepper Spray,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=2&ccid=110&cscid=1182,https://www.foxoutdoor.com/item_images_sm/12041F.jpg,https://www.foxoutdoor.com/item_images_lg/12041F.jpg,4 OZ.                                             ,3 oz.  4 oz.,,,,0.3,,,99598412418,OC 2% COP TOP MED. FOG P/SPRAY 4 OZ - BLACK           ," Non-flammable and Taser-safe. Highest quality materials and components are used. Use organic pepper resins that have at least a true 2 000 000 Scoville. Heat Unit (SHU) rating. 3 oz.  4 3/4"" H x 1 3/8"" Dia.; approx. 24-28½ sec bursts. 4 oz.  5 3/4"" H x 1½"" Dia.; approx.. 32-36½ sec bursts . Cone Fog Pattern goes 10-12 feet",46.95,37.95,18.5
12-042F             ,Enforcement,Personal Protection,Flip Top Stream Pepper Spray,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=2&ccid=110&cscid=1187,https://www.foxoutdoor.com/item_images_sm/12042F.jpg,https://www.foxoutdoor.com/item_images_lg/12042F.jpg,4 OZ.                                             ,3 oz.  4 oz.,,,,0.35,,,99598412425,OC 2% FLIP TOP STREAM P/SPRAY 4 OZ - BLACK            ," Non-flammable and Taser-safe. Highest quality materials and components are used. Use organic pepper resins that have at least a true 2 000 000 Scoville. Heat Unit (SHU) rating. 3 oz.  4¾"" H x 1 3/8"" Dia.; approx. 24-28½ sec bursts. 4 oz.  5¾"" H x 1½"" Dia.; approx.. 32-36½ sec bursts. Heavy Stream Pattern goes 12-15 ft",49.95,39.95,19.9
12-043F             ,Adventure,Safety Glasses,Flip Top Fog Cone Pepper Spray,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=148&cscid=1186,https://www.foxoutdoor.com/item_images_sm/12043F.jpg,https://www.foxoutdoor.com/item_images_lg/12043F.jpg,4 OZ.                                             ,3 oz.  4 oz.,,,,0.35,,,99598412432,OC 2% FLIP TOP MED. FOG P/SPRAY 4 OZ - BLACK          ," Non-flammable and Taser-safe. Highest quality materials and components are used. Use organic pepper resins that have at least a true 2 000 000 Scoville. Heat Unit (SHU) rating. 3 oz.  4¾"" H x 1 3/8"" Dia.; approx. 24-28½ sec bursts. 4 oz.  5¾"" H x 1½"" Dia.; approx. 32-36½ sec bursts   . Cone-Fog Pattern goes 10-12 ft",49.95,39.95,19.75
12-04F              ,Enforcement,Personal Protection,Cop Top Stream Pepper Spray,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=2&ccid=110&cscid=1184,https://www.foxoutdoor.com/item_images_sm/1204F.jpg,https://www.foxoutdoor.com/item_images_lg/1204F.jpg,4 OZ.                                             ,3 oz.  4 oz.,,,,0.3,,,99598412043,OC 2% COP TOP STREAM P/SPRAY 4 OZ - BLACK             ," Non-flammable and Taser-safe. Highest quality materials and components are used. Use organic pepper resins that have at least a true 2 000 000 Scoville. Heat Unit (SHU) rating. 3 oz.  5"" H x 1 3/8"" Dia.; approx. 24-28½ sec bursts. Heavy Stream Pattern goes 12-15 ft",45.95,36.95,18.25
12-05               ,Adventure,Personal & Home Protection,Sabre Red Pepper Self Defense Spray ,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1658,https://www.foxoutdoor.com/item_images_sm/1205.jpg,https://www.foxoutdoor.com/item_images_lg/1205.jpg,                                                  ,,,,,0.15,,.79 oz. / Pocket Unit w/ Clip (Sabre® Red) / 0.15 lbs.,23063100227,SABRE RED P/SPRAY- .79 OZ POCKET UNIT W/CLIP          ,,11.95,9.95,4.5
12-055              ,Adventure,Personal & Home Protection,Sabre Red Pepper Self Defense Spray ,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1658,https://www.foxoutdoor.com/item_images_sm/12055.jpg,https://www.foxoutdoor.com/item_images_lg/12055.jpg,                                                  ,,,,,0.15,,.79 oz. / Pocket Unit (Advanced 3-in-1 Formula) / 0.15 lbs.,23063700229,SABRE RED PEPPER SPRAY .79 OZ POCKET UNIT  ADV 3-1    ,,11.95,9.95,4.5
12-06               ,Adventure,Personal & Home Protection,Sabre Red Pepper Self Defense Spray ,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1658,https://www.foxoutdoor.com/item_images_sm/1206.jpg,https://www.foxoutdoor.com/item_images_lg/1206.jpg,                                                  ,,,,,0.4,,4.36 oz. / Police Magnum (Sabre® Red) / 0.4 lbs.,23063101200,SABRE RED P/SPRAY- 4.36 OZ POLICE MAGNUM              ,,20.95,16.95,8.25
12-07               ,Adventure,Personal & Home Protection,Sabre Red Pepper Self Defense Spray ,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1658,https://www.foxoutdoor.com/item_images_sm/1207.jpg,https://www.foxoutdoor.com/item_images_lg/1207.jpg,                                                  ,,,,,0.3,,2.5 oz. / Home Foam (Sabre® Red) / 0.3 lbs,23063501802,SABRE RED PEPPER SPRAY 2.5 OZ HOME FOAM UNIT          ,,18.95,15.95,7.25
12-08               ,Adventure,Personal & Home Protection,Sabre Red Pepper Self Defense Spray ,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1658,https://www.foxoutdoor.com/item_images_sm/1208.jpg,https://www.foxoutdoor.com/item_images_lg/1208.jpg,                                                  ,,,,,0.4,,4.4 oz. / Police Magnum (Advanced 3-in-1 formula) / 0.4 lbs.,23063601212,SABRE 3-IN-1 4.4OZ. POLICE MAGNUM                     ,,20.95,16.95,8.25
12-09               ,Adventure,Personal & Home Protection,Sabre Red Pepper Self Defense Spray ,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1658,https://www.foxoutdoor.com/item_images_sm/1209.jpg,https://www.foxoutdoor.com/item_images_lg/1209.jpg,                                                  ,,,,,0.95,,9.17 oz. / Bear Deterrent (Frontiersman) / 0.95 lbs. ,23063954622,SABRE 9.17 OZ. BEAR SPRAY W/HOLSTER                   ,,73.95,59.95,29.5
12-10               ,Adventure,Personal & Home Protection,Sabre Red Pepper Self Defense Spray ,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1658,https://www.foxoutdoor.com/item_images_sm/1210.jpg,https://www.foxoutdoor.com/item_images_lg/1210.jpg,                                                  ,,,,,0.15,,4 oz. Black Tactical Baton (Sabre® Red) / 0.15 lbs.,23063100005,SABRE RED PEPPER TACTICAL OC BATON 4 OZ.              ,,69.95,55.95,27.9
12-101              ,Adventure,Personal & Home Protection,Sabre Red Pepper Self Defense Spray ,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1658,https://www.foxoutdoor.com/item_images_sm/12101.jpg,https://www.foxoutdoor.com/item_images_lg/12101.jpg,                                                  ,,,,,0.1,,Black Pepper Spray Refill (Sabre® Red) / 0.1 lbs.,23063100012,SABRE RED PEPPER TACTICAL OC BATON REFILL CANISTER 4 G,,14.95,11.95,5.9
12-111              ,Adventure,Personal & Home Protection,Sabre Red Pepper Self Defense Spray ,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1658,https://www.foxoutdoor.com/item_images_sm/12111.jpg,https://www.foxoutdoor.com/item_images_lg/12111.jpg,                                                  ,,,,,0.2,,.75 oz. / Blue Face (Sabre® Red) / 0.2 lbs.,99598121112,SABRE RED BLUE FACE PEPPER SPRAY - BLUE               ,,16.95,13.95,6.5
12-12               ,Adventure,Personal & Home Protection,Sabre Red Pepper Self Defense Spray ,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1658,https://www.foxoutdoor.com/item_images_sm/1212.jpg,https://www.foxoutdoor.com/item_images_lg/1212.jpg,                                                  ,,,,,0.2,,/ .54 oz. / Black Hard case (Sabre® Red) / 0.2 lbs.,23063105413,SABRE RED USA P/SPRAY-.54OZ HARD CASE                 ,,13.95,11.95,5.5
12-15               ,Adventure,Personal & Home Protection,Sabre Red Pepper Self Defense Spray ,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1658,https://www.foxoutdoor.com/item_images_sm/1215.jpg,https://www.foxoutdoor.com/item_images_lg/1215.jpg,                                                  ,,,,,1,,13 oz. / Home Defense (Sabre® Red) / 1.0 lbs.,23063103648,SABRE RED P/SPRAY- 13 OZ. HOME DEFENSE                ,,74.95,59.95,29.9
12-16               ,Adventure,Personal & Home Protection,Sabre Red Pepper Self Defense Spray ,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=6&ccid=159&cscid=1658,https://www.foxoutdoor.com/item_images_sm/1216.jpg,https://www.foxoutdoor.com/item_images_lg/1216.jpg,                                                  ,,,,,0.3,,1.8 oz. / Pepper Gel (Sabre® Red) / 0.3 lbs.,23063153001,PEPPER GEL WITH HOLSTER 50 GRAMS                      ,,26.95,21.95,10.5
